Diagnostic Policy Service
Connected User Experiences and Telemetry
Diagnostic Track
Downloaded Maps Manager
IP Helper
Program Compatibility Assistant Service
Secondary Logon
TCP/IP NetBIOS Helper
Touch Keyboard and Handwriting Panel Service
Windows Error Reporting Service
Remote Registry
Alljoyn Router Service
Phone Service
Windows Biometric Service
AdobeUpdateService
Xbox Accessory Management Service
Windows Phone IP over USB Transport (IpOverUsbSvc)
Application Layer Gateway Service
Network Connected Devices Auto-Setup
Payments and NFC/SE Manager
Remote Desktop Configuration
Remote Desktop Services
Remote Desktop Services UserMode Port Redirector
Retail Demo Service
